timestamp,road_id,vehicle_count,average_speed,congestion_level,weather_condition,day_of_week,holiday_flag,special_events
2024-01-01 00:00:00,R101,69,51.4,Low,Cloudy,0,0,Festival
2024-01-01 00:30:00,R101,48,60.6,Low,Foggy,0,0,None
2024-01-01 01:00:00,R101,87,56.7,Low,Cloudy,0,0,None
2024-01-01 01:30:00,R101,63,78.9,Low,Cloudy,0,0,Match
2024-01-01 02:00:00,R101,28,51.4,Low,Clear,0,0,None
2024-01-01 02:30:00,R101,122,63.4,Low,Cloudy,0,0,None
2024-01-01 03:00:00,R101,64,66.4,Low,Rainy,0,0,None
2024-01-01 03:30:00,R101,64,53.1,Low,Rainy,0,0,Concert
2024-01-01 04:00:00,R101,101,58.4,Low,Cloudy,0,0,None
2024-01-01 04:30:00,R101,28,66.3,Low,Clear,0,0,None
2024-01-01 05:00:00,R101,45,78.2,Low,Cloudy,0,0,Match
2024-01-01 05:30:00,R101,23,48.4,Low,Cloudy,0,0,None
2024-01-01 06:00:00,R101,55,66.3,Low,Cloudy,0,0,Concert
2024-01-01 06:30:00,R101,37,58.7,Low,Rainy,0,0,None
2024-01-01 07:00:00,R101,426,29.2,Medium,Cloudy,0,0,Match
2024-01-01 07:30:00,R101,657,21.6,High,Rainy,0,0,None
2024-01-01 08:00:00,R101,644,19.0,High,Cloudy,0,0,Concert
2024-01-01 08:30:00,R101,632,12.9,High,Clear,0,0,Match
2024-01-01 09:00:00,R101,479,32.8,Medium,Rainy,0,0,Concert
2024-01-01 09:30:00,R101,495,32.1,Medium,Cloudy,0,0,None
2024-01-01 10:00:00,R101,337,27.8,Medium,Foggy,0,0,Festival
2024-01-01 10:30:00,R101,258,79.5,Low,Cloudy,0,0,None
2024-01-01 11:00:00,R101,412,25.1,Medium,Foggy,0,0,None
2024-01-01 11:30:00,R101,257,70.5,Low,Clear,0,0,None
2024-01-01 12:00:00,R101,215,57.5,Low,Clear,0,0,None
2024-01-01 12:30:00,R101,312,37.5,Medium,Rainy,0,0,None
2024-01-01 13:00:00,R101,271,55.9,Low,Cloudy,0,0,Festival
2024-01-01 13:30:00,R101,311,37.8,Medium,Foggy,0,0,None
2024-01-01 14:00:00,R101,396,27.4,Medium,Rainy,0,0,None
2024-01-01 14:30:00,R101,174,64.6,Low,Foggy,0,0,Match
2024-01-01 15:00:00,R101,298,63.3,Low,Foggy,0,0,None
2024-01-01 15:30:00,R101,270,48.8,Low,Foggy,0,0,Concert
2024-01-01 16:00:00,R101,461,36.3,Medium,Cloudy,0,0,Match
2024-01-01 16:30:00,R101,420,37.1,Medium,Foggy,0,0,None
